SNo,Di00,Di01,Di02,Di03,Di04,Di05,Do00,Do01,Do02
62,0,1,1,0,1,0,1,1,1
63,1,1,0,1,1,1,0,1,0
64,1,1,0,1,1,1,0,1,0
65,0,0,1,1,0,0,0,0,0
66,0,1,1,0,1,0,1,1,1
67,1,1,0,0,0,1,0,0,1
68,0,1,0,1,0,1,1,1,1
69,0,1,1,0,0,0,1,1,0
70,1,1,0,0,1,0,0,0,1
71,1,1,0,1,0,0,0,1,0
72,0,1,0,0,1,1,1,0,0
73,0,0,0,0,1,0,0,0,1
74,1,1,1,1,1,1,0,0,0
75,0,0,0,0,1,1,0,0,0
76,0,0,0,0,0,1,0,0,1
77,1,0,0,0,0,1,1,0,1
78,1,1,1,0,1,0,0,1,1
79,0,0,0,1,1,0,0,1,1
80,0,0,1,0,0,0,0,1,0
81,1,0,0,1,1,0,1,1,1
82,0,0,1,1,1,0,0,0,1
83,1,1,0,0,0,1,0,0,1
84,0,0,0,0,0,1,0,0,1
85,0,0,1,0,1,0,0,1,1
86,1,0,0,0,0,0,1,0,0
87,0,0,1,0,1,1,0,1,0
88,0,0,0,1,0,1,0,1,1
89,1,0,1,0,0,0,1,1,0
90,1,0,1,0,0,1,1,1,1
91,1,0,0,1,0,0,1,1,0
92,0,0,0,0,1,1,0,0,0
93,1,1,1,0,1,0,0,1,1
94,0,1,1,0,0,1,1,1,1
95,0,0,1,1,0,1,0,0,1
96,0,0,0,0,1,0,0,0,1
97,0,1,1,1,1,1,1,0,0
98,0,1,0,0,1,1,1,0,0
99,1,0,1,1,0,1,1,0,1
100,1,0,0,1,0,0,1,1,0
101,1,0,0,1,1,1,1,1,0
102,1,0,1,0,0,0,1,1,0
103,0,1,1,1,1,1,1,0,0
104,1,0,1,0,0,1,1,1,1
105,0,1,0,1,1,0,1,1,1
106,0,0,0,1,0,0,0,1,0
107,1,1,1,0,0,0,0,1,0
108,1,0,0,0,1,0,1,0,1
109,1,1,1,0,0,1,0,1,1
110,1,0,0,0,0,0,1,0,0
111,1,0,1,1,1,1,1,0,0
112,1,0,0,0,0,0,1,0,0
113,0,0,0,0,0,1,0,0,1
114,1,0,1,1,1,1,1,0,0
115,1,0,0,1,0,1,1,1,1
116,0,1,1,0,1,1,1,1,0
117,1,0,1,1,1,1,1,0,0
118,0,0,1,0,0,0,0,1,0
119,1,0,1,0,1,0,1,1,1
120,1,0,0,1,1,1,1,1,0
121,1,0,1,0,1,0,1,1,1
122,1,1,1,0,0,0,0,1,0
123,0,1,0,0,0,0,1,0,0
124,0,0,0,0,1,0,0,0,1
125,1,0,0,1,1,0,1,1,1
126,0,1,0,1,0,1,1,1,1
127,1,1,0,0,1,0,0,0,1
128,0,1,1,1,0,1,1,0,1
129,1,0,1,0,1,1,1,1,0
130,1,0,0,1,1,1,1,1,0
131,0,1,0,0,1,1,1,0,0
132,0,0,1,1,0,1,0,0,1
133,1,1,0,0,1,0,0,0,1
134,0,0,1,0,1,0,0,1,1
135,1,0,0,1,1,1,1,1,0
136,0,0,0,1,0,1,0,1,1
137,1,0,1,0,0,1,1,1,1
138,1,1,1,1,0,1,0,0,1
139,0,1,0,1,1,0,1,1,1
140,0,1,0,0,0,0,1,0,0
141,0,1,1,0,1,0,1,1,1
142,1,0,1,1,0,1,1,0,1
143,1,1,1,0,0,1,0,1,1
144,0,1,0,1,0,0,1,1,0
145,0,0,1,1,0,0,0,0,0
146,1,0,1,0,0,1,1,1,1
147,0,1,0,1,0,1,1,1,1
148,1,1,0,1,0,1,0,1,1
149,0,1,1,0,1,0,1,1,1
150,1,0,0,0,1,0,1,0,1
151,1,1,0,1,1,0,0,1,1
152,1,0,1,0,0,1,1,1,1
153,1,1,1,1,0,1,0,0,1
154,1,1,1,1,1,1,0,0,0
155,1,1,1,0,1,1,0,1,0
156,0,1,0,0,1,0,1,0,1
157,1,0,1,0,1,0,1,1,1
158,0,0,1,1,0,1,0,0,1
159,1,1,0,0,0,0,0,0,0
160,0,1,0,0,0,1,1,0,1
161,0,1,0,1,1,0,1,1,1
162,0,0,0,0,0,0,0,0,0
163,1,1,1,0,1,1,0,1,0
164,0,1,0,1,1,1,1,1,0
165,1,1,0,1,1,0,0,1,1
166,0,0,1,1,1,0,0,0,1
167,1,0,0,0,0,0,1,0,0
168,1,0,1,0,1,1,1,1,0
169,0,1,1,0,0,0,1,1,0
170,1,1,1,1,0,1,0,0,1
171,0,1,1,1,1,0,1,0,1
172,0,0,1,1,1,1,0,0,0
173,1,1,0,0,1,0,0,0,1
174,0,0,0,1,1,1,0,1,0
175,0,0,1,1,0,0,0,0,0
176,0,0,0,0,0,1,0,0,1
177,0,1,0,0,0,1,1,0,1
178,1,1,0,0,1,0,0,0,1
179,0,1,0,0,1,1,1,0,0
180,1,1,0,0,1,1,0,0,0
181,0,1,1,1,1,0,1,0,1
182,1,0,1,0,0,1,1,1,1
183,0,1,0,1,1,1,1,1,0
184,0,1,0,1,0,1,1,1,1
185,1,1,1,0,1,0,0,1,1
186,1,0,0,1,0,1,1,1,1
187,1,0,0,0,1,1,1,0,0
188,0,1,1,1,0,1,1,0,1
189,1,1,0,0,1,0,0,0,1
190,0,1,0,0,1,1,1,0,0
191,1,0,0,0,1,1,1,0,0
192,1,0,1,1,0,0,1,0,0
193,1,0,0,1,0,1,1,1,1
194,0,0,0,1,1,0,0,1,1
195,0,1,1,0,0,1,1,1,1
196,0,0,0,0,1,0,0,0,1
197,0,1,0,1,0,0,1,1,0
198,0,1,1,1,0,0,1,0,0
199,1,1,0,1,0,1,0,1,1
200,1,1,1,0,0,0,0,1,0
201,0,0,0,1,0,1,0,1,1
202,0,0,1,1,0,0,0,0,0
203,0,0,0,0,1,1,0,0,0
204,0,1,0,0,0,1,1,0,1
205,0,1,0,1,1,1,1,1,0
206,0,1,1,0,1,1,1,1,0
207,1,0,1,1,1,0,1,0,1
208,1,1,0,0,0,1,0,0,1
209,0,0,0,0,1,0,0,0,1
210,1,0,0,0,0,0,1,0,0
211,0,0,1,1,1,0,0,0,1
212,0,0,1,1,0,0,0,0,0
213,0,1,1,0,0,0,1,1,0
214,0,0,1,1,0,0,0,0,0
215,1,1,0,1,0,0,0,1,0
216,0,0,0,0,1,0,0,0,1
217,0,0,0,1,1,1,0,1,0
218,1,1,0,1,0,0,0,1,0
219,0,1,0,0,0,1,1,0,1
220,1,1,0,1,1,1,0,1,0
221,0,1,0,1,0,1,1,1,1
222,1,1,1,1,1,0,0,0,1
223,0,1,1,1,1,0,1,0,1
224,0,1,1,1,0,0,1,0,0
225,0,0,0,0,0,1,0,0,1
226,0,1,0,0,0,1,1,0,1
227,1,0,0,0,0,0,1,0,0
228,0,1,0,1,1,0,1,1,1
229,0,1,0,1,0,0,1,1,0
230,1,0,1,1,0,0,1,0,0
231,0,1,1,0,0,0,1,1,0
232,1,1,0,1,1,0,0,1,1
233,0,0,1,0,1,1,0,1,0
234,0,0,0,0,1,1,0,0,0
235,1,1,0,0,1,0,0,0,1
236,0,0,0,0,1,0,0,0,1
237,1,0,0,1,0,0,1,1,0
238,0,1,1,1,1,0,1,0,1
239,0,0,1,0,0,1,0,1,1
240,1,0,1,0,0,1,1,1,1
241,1,1,0,0,0,1,0,0,1
242,0,1,0,1,1,0,1,1,1
243,0,0,0,1,0,0,0,1,0
244,1,1,1,0,1,0,0,1,1
245,1,0,1,0,0,1,1,1,1
246,0,1,1,0,0,1,1,1,1
247,0,1,0,0,1,1,1,0,0
248,0,1,1,0,1,1,1,1,0
249,1,0,0,1,0,1,1,1,1
250,0,0,1,0,1,1,0,1,0
251,1,1,1,1,0,0,0,0,0
252,1,0,0,1,0,0,1,1,0
253,1,1,1,0,0,0,0,1,0
254,0,0,1,0,1,0,0,1,1
255,1,0,0,0,0,1,1,0,1
256,1,0,0,1,0,0,1,1,0
257,0,1,0,1,1,1,1,1,0
258,0,0,1,1,0,1,0,0,1
259,1,1,0,1,1,0,0,1,1
260,0,1,0,1,1,1,1,1,0
261,1,0,1,1,1,0,1,0,1
262,1,0,0,1,0,1,1,1,1
263,1,1,1,1,1,1,0,0,0
264,0,1,0,0,0,0,1,0,0
265,0,0,1,1,0,0,0,0,0
266,0,1,1,0,1,0,1,1,1
267,1,1,0,0,1,1,0,0,0
268,1,0,1,1,1,1,1,0,0
269,1,0,0,1,0,0,1,1,0
270,1,1,0,0,0,1,0,0,1
271,1,1,1,1,1,1,0,0,0
272,0,1,0,0,0,1,1,0,1
273,0,1,1,1,1,0,1,0,1
274,1,1,0,1,0,0,0,1,0
275,0,0,0,0,1,1,0,0,0
276,0,0,0,0,1,0,0,0,1
277,0,1,0,0,0,1,1,0,1
278,1,0,0,0,0,0,1,0,0
279,0,0,1,1,1,0,0,0,1
280,0,0,1,1,1,0,0,0,1
281,0,1,0,0,0,1,1,0,1
282,0,1,0,1,1,0,1,1,1
283,1,1,0,0,1,1,0,0,0
284,0,1,0,0,1,1,1,0,0
285,0,0,1,0,1,1,0,1,0
286,0,1,1,0,1,1,1,1,0
287,1,1,0,1,0,0,0,1,0
288,1,1,1,1,1,0,0,0,1
289,0,1,0,1,1,0,1,1,1
290,1,1,1,0,0,1,0,1,1
291,1,0,1,1,0,1,1,0,1
292,0,1,1,1,1,0,1,0,1
293,1,0,1,1,0,0,1,0,0
294,0,0,0,1,1,1,0,1,0
295,0,1,1,1,0,1,1,0,1
296,0,0,0,0,1,1,0,0,0
297,0,0,0,1,1,0,0,1,1
298,0,0,0,1,0,0,0,1,0
299,0,0,1,0,0,1,0,1,1
300,0,0,0,1,0,1,0,1,1
301,0,0,0,1,1,0,0,1,1
302,1,0,1,1,1,0,1,0,1
303,1,1,1,0,1,1,0,1,0
304,1,0,0,1,0,0,1,1,0
305,0,1,1,0,0,1,1,1,1
306,0,0,0,1,1,0,0,1,1
307,1,0,1,0,0,0,1,1,0
308,0,1,0,0,1,1,1,0,0
309,0,0,1,1,0,1,0,0,1
310,0,0,0,0,0,0,0,0,0
311,0,1,1,0,0,0,1,1,0
312,1,1,0,1,0,0,0,1,0
313,1,1,0,0,1,1,0,0,0
314,1,0,1,0,0,0,1,1,0
315,0,1,1,0,1,0,1,1,1
316,1,1,0,1,1,1,0,1,0
317,0,0,0,0,1,1,0,0,0
318,1,0,1,1,1,1,1,0,0
319,0,1,0,1,0,0,1,1,0
320,0,0,0,1,0,1,0,1,1
321,0,0,0,1,1,1,0,1,0
322,1,0,1,1,0,1,1,0,1
323,0,0,0,0,1,1,0,0,0
324,0,1,1,0,1,1,1,1,0
325,0,0,0,1,0,1,0,1,1
326,0,0,1,1,0,0,0,0,0
327,0,0,1,0,1,0,0,1,1
328,1,1,0,1,0,1,0,1,1
329,1,0,1,0,1,1,1,1,0
330,1,0,1,1,1,0,1,0,1
331,0,0,0,0,0,0,0,0,0
332,1,0,0,0,1,0,1,0,1
333,0,0,1,1,0,0,0,0,0
334,0,0,0,0,1,0,0,0,1
335,0,0,1,0,0,0,0,1,0
336,1,1,0,0,1,0,0,0,1
337,0,1,0,0,0,1,1,0,1
338,0,1,0,0,1,0,1,0,1
339,1,1,1,0,1,0,0,1,1
340,0,1,0,1,0,0,1,1,0
341,1,0,0,0,1,0,1,0,1
342,0,0,1,0,0,0,0,1,0
343,0,1,0,0,1,0,1,0,1
344,1,1,0,0,1,0,0,0,1
345,0,0,1,0,1,1,0,1,0
346,0,0,1,1,0,1,0,0,1
347,1,0,0,0,0,1,1,0,1
348,1,0,1,0,1,1,1,1,0
349,0,1,1,1,0,0,1,0,0
350,0,0,1,1,0,0,0,0,0
351,0,1,1,1,0,1,1,0,1
352,1,0,0,1,1,1,1,1,0
353,0,0,1,0,1,0,0,1,1
354,1,1,1,0,0,1,0,1,1
355,1,0,0,1,0,0,1,1,0
356,1,1,1,1,1,0,0,0,1
357,0,0,0,1,1,0,0,1,1
358,0,1,0,0,1,1,1,0,0
359,0,1,1,0,0,0,1,1,0
360,1,0,1,1,1,1,1,0,0
361,0,1,0,0,1,0,1,0,1
362,0,0,1,1,0,0,0,0,0
363,0,1,1,0,0,1,1,1,1
364,1,1,0,1,0,0,0,1,0
365,0,1,0,0,0,1,1,0,1
366,1,0,0,0,1,1,1,0,0
367,0,1,0,1,1,1,1,1,0
368,0,1,1,1,0,1,1,0,1
369,1,1,0,0,0,1,0,0,1
370,0,1,0,1,0,1,1,1,1
371,0,1,1,1,1,1,1,0,0
372,0,0,1,1,1,0,0,0,1
373,1,1,1,1,0,1,0,0,1
374,1,1,1,0,1,1,0,1,0
375,1,0,0,0,1,1,1,0,0
376,0,1,1,0,1,0,1,1,1
377,0,0,1,1,0,1,0,0,1
378,1,1,1,1,1,0,0,0,1
379,1,1,1,1,1,1,0,0,0
380,0,1,0,1,0,1,1,1,1
381,1,1,0,0,0,0,0,0,0
382,1,0,0,1,1,0,1,1,1
383,0,0,0,1,0,1,0,1,1
384,1,1,1,1,0,1,0,0,1
385,0,1,1,1,1,1,1,0,0
386,1,0,0,0,0,1,1,0,1
387,1,1,0,1,0,0,0,1,0
388,0,1,0,1,1,1,1,1,0
389,1,1,1,0,1,0,0,1,1
390,1,1,0,0,0,1,0,0,1
391,0,1,0,0,0,0,1,0,0
392,1,1,1,0,0,1,0,1,1
393,1,0,1,1,1,0,1,0,1
394,1,1,0,1,0,0,0,1,0
395,1,1,0,0,1,1,0,0,0
396,0,0,0,1,1,0,0,1,1
397,1,0,1,1,1,1,1,0,0
398,0,0,1,0,1,1,0,1,0
399,1,1,1,1,1,1,0,0,0
400,1,0,0,0,0,0,1,0,0
401,0,0,0,0,0,1,0,0,1
402,0,0,1,0,1,1,0,1,0
403,1,0,1,0,1,0,1,1,1
404,1,1,0,0,1,1,0,0,0
405,1,1,1,1,0,0,0,0,0
406,1,1,1,1,0,0,0,0,0
407,1,1,0,1,1,1,0,1,0
408,0,1,0,0,0,0,1,0,0
409,1,0,1,0,0,0,1,1,0
410,0,1,1,1,1,0,1,0,1
411,0,1,1,0,0,0,1,1,0
412,1,0,1,0,1,1,1,1,0
413,0,0,0,1,0,0,0,1,0
414,1,0,0,0,1,1,1,0,0
415,0,1,0,0,0,1,1,0,1
416,1,1,0,1,0,0,0,1,0
417,1,1,0,1,0,0,0,1,0
418,1,1,0,1,0,0,0,1,0
419,0,1,1,1,1,0,1,0,1
420,1,1,0,0,0,0,0,0,0
421,0,1,1,0,1,1,1,1,0
422,1,0,1,1,0,0,1,0,0
423,1,1,1,0,1,1,0,1,0
424,0,0,1,1,1,1,0,0,0
425,1,1,1,1,1,0,0,0,1
426,0,1,1,1,1,1,1,0,0
427,0,0,0,1,0,1,0,1,1
428,1,0,1,1,0,1,1,0,1
429,1,1,0,0,1,1,0,0,0
430,1,0,1,0,0,1,1,1,1
431,1,1,1,0,1,1,0,1,0
432,1,1,0,1,1,0,0,1,1
433,1,1,1,1,1,0,0,0,1
434,0,0,1,0,0,0,0,1,0
435,0,1,1,1,0,0,1,0,0
436,1,0,0,0,1,1,1,0,0
437,0,1,1,0,1,0,1,1,1
438,1,1,0,0,0,1,0,0,1
439,0,0,1,1,1,0,0,0,1
440,1,1,1,1,1,1,0,0,0
441,1,1,1,0,0,0,0,1,0
442,0,0,0,0,1,1,0,0,0
443,1,0,0,0,1,0,1,0,1
444,1,1,1,0,1,1,0,1,0
445,0,0,1,1,1,1,0,0,0
446,1,0,1,1,0,0,1,0,0
447,1,0,1,1,0,0,1,0,0
448,1,1,0,1,1,1,0,1,0
449,1,0,0,0,1,0,1,0,1
450,0,1,0,1,0,1,1,1,1
451,1,0,1,0,0,1,1,1,1
452,1,0,1,0,1,0,1,1,1
453,1,0,0,0,0,1,1,0,1
454,1,0,1,1,1,0,1,0,1
455,1,1,1,1,0,1,0,0,1
456,0,1,1,1,0,0,1,0,0
457,0,0,0,1,1,1,0,1,0
458,0,1,1,1,1,1,1,0,0
459,1,1,0,0,1,1,0,0,0
460,0,1,0,1,1,1,1,1,0
461,1,0,1,1,1,1,1,0,0
462,1,1,1,0,0,1,0,1,1
463,0,0,0,0,1,1,0,0,0
464,0,1,1,0,1,0,1,1,1
465,1,1,0,0,1,0,0,0,1
466,1,1,1,1,1,1,0,0,0
467,1,0,0,1,0,1,1,1,1
468,1,0,1,1,1,1,1,0,0
469,0,1,0,0,0,1,1,0,1
470,1,1,0,0,0,0,0,0,0
471,1,0,1,1,0,0,1,0,0
472,1,1,0,1,0,0,0,1,0
473,1,1,0,0,0,0,0,0,0
474,1,0,0,0,1,1,1,0,0
475,0,1,0,1,1,0,1,1,1
476,0,0,0,0,1,0,0,0,1
477,1,0,0,0,1,0,1,0,1
478,0,1,1,0,0,0,1,1,0
479,1,1,0,1,1,0,0,1,1
480,1,1,1,0,0,1,0,1,1
481,1,0,1,0,0,1,1,1,1
482,0,1,1,0,0,0,1,1,0
483,0,1,0,0,1,0,1,0,1
484,0,0,0,0,0,1,0,0,1
485,1,0,1,1,0,0,1,0,0
486,1,1,1,0,0,1,0,1,1
487,0,0,1,1,1,1,0,0,0
488,1,0,1,1,1,0,1,0,1
489,1,1,1,0,1,0,0,1,1
490,1,1,1,1,1,1,0,0,0
491,0,1,1,1,1,0,1,0,1
492,1,0,0,1,1,1,1,1,0
493,1,1,0,1,0,0,0,1,0
494,0,1,1,1,1,0,1,0,1
495,0,0,1,0,0,0,0,1,0
496,1,0,0,1,0,0,1,1,0
497,1,1,0,0,0,0,0,0,0
498,1,1,0,0,1,0,0,0,1
499,0,0,1,0,1,1,0,1,0
500,1,0,1,0,0,1,1,1,1
501,0,1,1,0,1,0,1,1,1
502,0,1,0,0,1,1,1,0,0
503,1,1,1,0,0,1,0,1,1
504,0,0,0,1,0,0,0,1,0
505,1,1,1,1,1,0,0,0,1
506,1,0,0,1,0,0,1,1,0
507,1,1,1,1,0,0,0,0,0
508,0,0,0,1,0,1,0,1,1
509,0,0,0,1,0,0,0,1,0
510,1,1,1,1,0,0,0,0,0
511,1,1,1,0,0,1,0,1,1
512,0,0,1,0,1,0,0,1,1
513,1,1,0,0,1,0,0,0,1
514,1,1,0,1,0,1,0,1,1
515,1,1,0,1,1,0,0,1,1
516,1,1,0,1,1,0,0,1,1
517,0,1,1,1,1,0,1,0,1
518,1,1,0,1,1,1,0,1,0
519,0,1,1,0,1,0,1,1,1
520,0,1,0,0,0,0,1,0,0
521,0,0,0,0,0,1,0,0,1
522,0,0,1,1,1,1,0,0,0
523,0,0,0,1,1,1,0,1,0
524,0,1,0,0,1,0,1,0,1
525,1,1,0,1,0,0,0,1,0
526,0,1,1,0,0,0,1,1,0
527,1,1,1,0,1,0,0,1,1
528,0,1,1,0,1,1,1,1,0
529,0,0,1,0,0,0,0,1,0
530,0,1,1,1,1,1,1,0,0
531,1,0,0,0,0,1,1,0,1
532,0,0,1,0,0,0,0,1,0
533,0,1,0,1,0,1,1,1,1
534,1,0,1,0,1,1,1,1,0
535,0,1,1,0,1,0,1,1,1
536,0,1,1,1,1,1,1,0,0
537,0,1,1,1,1,1,1,0,0
538,1,0,0,0,0,1,1,0,1
539,0,1,1,0,0,0,1,1,0
540,0,0,1,0,0,0,0,1,0
541,0,0,1,0,1,0,0,1,1
542,1,0,0,1,0,1,1,1,1
543,1,1,1,1,0,0,0,0,0
544,1,1,1,0,1,1,0,1,0
545,1,1,1,0,0,0,0,1,0
546,1,0,1,1,1,1,1,0,0
547,0,1,0,1,1,0,1,1,1
548,1,1,1,0,0,0,0,1,0
549,1,1,1,0,0,0,0,1,0
550,1,1,1,1,1,1,0,0,0
551,1,1,0,1,1,1,0,1,0
552,1,0,1,0,1,1,1,1,0
553,0,1,0,0,1,1,1,0,0
554,0,1,1,0,0,1,1,1,1
555,0,1,0,1,1,0,1,1,1
556,1,1,0,0,0,1,0,0,1
557,1,1,0,1,0,1,0,1,1
558,1,1,1,0,1,0,0,1,1
559,1,0,1,1,0,1,1,0,1
560,0,0,1,0,0,0,0,1,0
561,1,0,1,1,0,1,1,0,1
562,1,0,1,1,1,1,1,0,0
563,1,0,1,1,1,1,1,0,0
564,1,0,1,1,1,1,1,0,0
565,0,0,0,0,1,0,0,0,1
566,0,1,1,0,0,1,1,1,1
567,0,1,0,1,1,1,1,1,0
568,0,0,1,0,0,1,0,1,1
569,0,1,0,1,0,1,1,1,1
570,0,1,1,1,1,0,1,0,1
571,1,0,0,1,1,1,1,1,0
572,0,1,0,1,0,0,1,1,0
573,0,0,1,1,0,1,0,0,1
574,0,0,0,0,0,0,0,0,0
575,1,0,1,1,1,1,1,0,0
576,0,1,0,0,0,0,1,0,0
577,1,1,1,1,1,0,0,0,1
578,1,1,0,0,1,0,0,0,1
579,1,0,0,1,1,0,1,1,1
580,0,0,1,1,0,0,0,0,0
581,0,1,1,1,0,1,1,0,1
582,1,0,1,0,0,1,1,1,1
583,0,0,0,1,1,0,0,1,1
584,0,0,1,0,1,1,0,1,0
585,0,0,1,1,1,0,0,0,1
586,0,1,1,0,1,0,1,1,1
587,1,1,0,0,1,0,0,0,1
588,0,1,1,1,1,1,1,0,0
589,1,1,0,1,0,1,0,1,1
590,1,1,1,0,0,1,0,1,1
591,0,1,0,1,1,1,1,1,0
592,1,1,1,0,1,1,0,1,0
593,0,0,1,0,1,0,0,1,1
594,1,1,1,0,1,0,0,1,1
595,1,1,0,1,1,1,0,1,0
596,0,0,1,0,1,1,0,1,0
597,0,1,1,0,1,0,1,1,1
598,0,1,1,0,0,0,1,1,0
599,0,0,0,1,1,0,0,1,1
600,0,1,0,1,1,0,1,1,1
601,0,0,0,1,1,0,0,1,1
602,0,1,0,1,0,0,1,1,0
603,1,0,0,0,0,0,1,0,0
604,1,0,1,0,0,0,1,1,0
605,1,1,1,0,1,1,0,1,0
606,1,0,1,0,0,0,1,1,0
607,0,0,1,0,0,0,0,1,0
608,1,1,0,1,1,0,0,1,1
609,0,0,1,1,1,1,0,0,0
610,0,0,0,1,0,0,0,1,0
611,1,0,0,0,0,1,1,0,1
612,0,0,0,0,0,1,0,0,1
613,0,1,0,0,0,1,1,0,1
614,0,1,0,1,0,1,1,1,1
615,0,1,0,0,1,1,1,0,0
616,0,0,0,1,0,0,0,1,0
617,0,0,1,0,1,0,0,1,1
618,1,0,1,1,0,0,1,0,0
619,1,0,1,0,1,0,1,1,1
620,0,0,1,0,0,0,0,1,0
621,0,0,0,1,1,1,0,1,0
622,1,1,0,1,0,0,0,1,0
623,0,1,0,1,1,1,1,1,0
624,0,0,0,0,1,1,0,0,0
625,1,1,1,1,1,0,0,0,1
626,0,1,1,0,0,1,1,1,1
627,0,0,0,1,1,1,0,1,0
628,1,1,0,1,0,1,0,1,1
629,0,0,0,1,0,1,0,1,1
630,0,0,0,1,1,0,0,1,1
631,1,0,0,1,1,0,1,1,1
632,0,1,0,0,0,0,1,0,0
633,1,0,0,1,0,1,1,1,1
634,1,1,0,1,0,0,0,1,0
635,0,0,1,0,0,0,0,1,0
636,0,1,1,0,1,1,1,1,0
637,0,0,0,0,1,0,0,0,1
638,1,1,0,0,0,0,0,0,0
639,0,1,1,1,0,1,1,0,1
640,1,0,1,0,1,0,1,1,1
641,0,1,1,0,0,1,1,1,1
642,1,1,0,1,0,0,0,1,0
643,1,0,0,1,0,0,1,1,0
644,1,0,0,1,1,0,1,1,1
645,0,1,1,0,1,1,1,1,0
646,1,0,1,1,1,1,1,0,0
647,1,0,1,0,1,0,1,1,1
648,1,1,0,1,1,1,0,1,0
649,1,1,1,1,0,1,0,0,1
650,0,1,0,0,1,1,1,0,0
651,0,1,0,0,1,0,1,0,1
652,0,0,1,0,0,1,0,1,1
653,1,1,1,1,1,0,0,0,1
654,0,1,1,1,0,1,1,0,1
655,0,0,1,0,0,1,0,1,1
656,1,0,0,1,0,1,1,1,1
657,0,1,1,0,0,1,1,1,1
658,0,0,0,1,1,1,0,1,0
659,0,1,0,0,0,0,1,0,0
660,1,0,0,0,0,1,1,0,1
661,0,0,1,1,0,0,0,0,0
662,1,1,0,1,0,0,0,1,0
663,0,1,0,0,1,0,1,0,1
664,1,0,0,1,1,1,1,1,0
665,1,1,1,0,1,1,0,1,0
666,1,0,1,0,1,1,1,1,0
667,1,0,1,1,0,0,1,0,0
668,0,0,0,0,1,0,0,0,1
669,0,1,1,0,0,1,1,1,1
670,0,0,0,0,0,1,0,0,1
671,1,1,1,0,1,0,0,1,1
672,1,1,0,0,0,1,0,0,1
673,0,1,0,0,1,1,1,0,0
674,0,0,1,0,1,0,0,1,1
675,0,1,1,1,0,0,1,0,0
676,0,1,0,0,0,1,1,0,1
677,0,1,1,0,1,1,1,1,0
678,0,1,0,1,1,1,1,1,0
679,0,0,1,1,1,1,0,0,0
680,1,0,1,0,0,1,1,1,1
681,0,1,1,1,1,1,1,0,0
682,0,1,1,1,1,1,1,0,0
683,1,1,1,0,0,0,0,1,0
684,0,0,1,0,0,0,0,1,0
685,0,0,0,0,0,0,0,0,0
686,0,1,1,1,0,1,1,0,1
687,1,0,1,0,0,1,1,1,1
688,1,1,0,0,0,0,0,0,0
689,1,1,1,0,0,1,0,1,1
690,1,0,0,1,0,0,1,1,0
691,1,0,1,0,1,0,1,1,1
692,1,1,1,1,0,1,0,0,1
693,1,1,1,0,0,1,0,1,1
694,1,0,0,1,1,0,1,1,1
695,0,1,1,0,1,1,1,1,0
